published_at_utc,title,link,publisher,headline_sentiment,sentiment_label,news_yahoo_symbol,price_yahoo_symbol
2026-05-13T08:29:59Z,"Copper Prices Hit Record High As AI Data Center Boom Fuels Global Supply Crunch, Pushing CPER ETF Higher",https://finance.yahoo.com/news/copper-prices-hit-record-high-082959021.html,Benzinga,0.5,bullish,CPER,HG=F
2026-05-08T15:15:30Z,Is Consolidation Around $6 Bullish for Copper?,https://www.barchart.com/story/news/1804858/is-consolidation-around-6-bullish-for-copper,Barchart,1.0,bullish,CPER,HG=F
2026-04-22T05:01:00Z,COPX- A Great Way to Capitalize on Higher Copper Prices,https://finance.yahoo.com/markets/commodities/articles/copx-great-way-capitalize-higher-050100577.html,MoneyShow,1.0,bullish,CPER,HG=F
2026-04-04T13:30:12Z,"CPER Returned 138% Over 10 Years, But Copper Miners Left It in the Dust",https://247wallst.com/investing/2026/04/04/cper-returned-138-over-10-years-but-copper-miners-left-it-in-the-dust/,24/7 Wall St.,0.0,neutral,CPER,HG=F
2026-03-26T08:05:00Z,"The Zacks Analyst Blog Highlights SPY, QQQ, DXJ, CPER and EWY",https://finance.yahoo.com/markets/stocks/articles/zacks-analyst-blog-highlights-spy-080500751.html,Zacks,0.0,neutral,CPER,HG=F
2026-03-25T12:22:00Z,Trump Signals Progress in Iran Talks: 5 Beaten-Down ETFs to Rally,https://finance.yahoo.com/markets/stocks/articles/trump-signals-progress-iran-talks-122200622.html,Zacks,0.0,neutral,CPER,HG=F
2026-03-18T13:00:00Z,4 Reasons to Stay Cautious and Play ETFs Strategically,https://finance.yahoo.com/news/4-reasons-stay-cautious-play-130000890.html,Zacks,0.0,neutral,CPER,HG=F
2026-03-05T10:08:22Z,Copper Prices Are Still Surging: Here’s the Only ETF You Need to Play It,https://247wallst.com/investing/2026/03/05/copper-prices-are-still-surging-heres-the-only-etf-you-need-to-play-it/,24/7 Wall St.,0.0,neutral,CPER,HG=F
2026-02-23T13:41:00Z,Bet on These Copper ETFs as Red Metal Demand Expected to Surge 50%,https://finance.yahoo.com/news/bet-copper-etfs-red-metal-134100869.html,Zacks,1.0,bullish,CPER,HG=F
2026-01-30T17:47:00Z,Copper ETF (CPER) Hits New 52-Week High,https://finance.yahoo.com/news/copper-etf-cper-hits-52-174700042.html,Zacks,1.0,bullish,CPER,HG=F
2026-01-07T13:00:00Z,ETF Stories to Rule in 2026,https://finance.yahoo.com/news/etf-stories-rule-2026-130000589.html,Zacks,0.0,neutral,CPER,HG=F
2026-01-06T14:20:00Z,Market Minute 1-6-26- Metals Mania Spreads as Markets Tighten,https://finance.yahoo.com/news/market-minute-1-6-26-142000985.html,MoneyShow,0.0,neutral,CPER,HG=F
2026-01-01T16:22:00Z,"Tariffs Pushed CPER Up 39%, Doubling S&P 500 Returns",https://247wallst.com/investing/2026/01/01/tariffs-pushed-cper-up-39-doubling-sp-500-returns/,24/7 Wall St.,1.0,bullish,CPER,HG=F
2025-12-31T12:57:00Z,The Red Metal's AI Revolution: Copper ETFs Poised for a Strong 2026,https://finance.yahoo.com/news/red-metals-ai-revolution-copper-125700835.html,Zacks,1.0,bullish,CPER,HG=F
2025-12-30T16:00:00Z,6 ETF Predictions for 2026,https://finance.yahoo.com/news/6-etf-predictions-2026-160000571.html,Zacks,0.0,neutral,CPER,HG=F
2025-12-24T16:45:00Z,ETF trends to watch in 2026 for active managed & derivative funds,https://finance.yahoo.com/video/etf-trends-watch-2026-active-164500122.html,Yahoo Finance Video,0.0,neutral,CPER,HG=F
2025-12-11T16:30:00Z,MoneyMasters Podcast 12-11-25- Hard Assets vs. Financial - McDonald on What Leads in 26,https://finance.yahoo.com/news/moneymasters-podcast-12-11-25-163000564.html,MoneyShow,0.0,neutral,CPER,HG=F
2025-12-10T09:46:00Z,"The Zacks Analyst Blog Highlights iShares Silver Trust, United States Copper ETF and Invesco DB US Dollar Index Bullish Fund",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-ishares-094600982.html,Zacks,1.0,bullish,CPER,HG=F
2025-12-09T12:00:00Z,Will 2026 Be a Year of Silver & Copper ETFs?,https://finance.yahoo.com/news/2026-silver-copper-etfs-120000611.html,Zacks,0.0,neutral,CPER,HG=F
2025-11-27T16:41:00Z,Copper ETF Appeal Grows Following Price Outlook Upgrade,https://finance.yahoo.com/news/copper-etf-appeal-grows-following-164100058.html,Zacks,1.0,bullish,CPER,HG=F
2025-11-13T16:30:00Z,MoneyMasters Podcast 11-13-25- The Real Drivers of the Gold Market Surge,https://finance.yahoo.com/news/moneymasters-podcast-11-13-25-163000915.html,MoneyShow,1.0,bullish,CPER,HG=F
2025-07-09T15:30:00Z,Copper Skyrockets to New Highs: ETFs to Ride the Tariff Talks,https://finance.yahoo.com/news/copper-skyrockets-highs-etfs-ride-153000671.html,Zacks,0.0,neutral,CPER,HG=F
2025-07-09T14:15:00Z,"Market Minute 7-9-25- Tariff News Rocks Copper, While Fed Chatter Heats Up",https://finance.yahoo.com/news/market-minute-7-9-25-141500317.html,MoneyShow,1.0,bullish,CPER,HG=F
2025-07-07T21:16:02Z,"CPER Sinks as China, Dollar  Tariffs Weigh on Copper",http://www.etf.com/sections/news/cper-copper-price-china-dollar-tariffs?utm_source=yahoo-financeutm_medium=rssutm_campaign=yahoo-finance-rss,etf.com,0.0,neutral,CPER,HG=F
2025-07-02T10:33:00Z,Copper Hits a Three-Month High: ETFs in Focus,https://finance.yahoo.com/news/copper-hits-three-month-high-103300400.html,Zacks,1.0,bullish,CPER,HG=F
2025-06-27T14:49:17Z,Beijing Lifts Rare-Earth Curbs; MP Materials Dives As S&P 500 Sails,https://www.investors.com/news/mp-materials-fcx-china-rare-earth-export-controls-copper-trump-tariffs/?src=A00220&yptr=yahoo,Investor's Business Daily,0.0,neutral,CPER,HG=F
